user_id,event_id
U0000,E0000
U0000,E0001
U0001,E0001
U0001,E0002
U0001,E0003
U0002,E0002
U0002,E0003
U0002,E0004
U0002,E0005
U0003,E0003
U0003,E0004
U0003,E0005
U0003,E0006
U0003,E0007
U0004,E0004
U0004,E0005
U0005,E0005
U0005,E0006
U0005,E0007
U0006,E0006
U0006,E0007
U0006,E0008
U0006,E0009
U0007,E0007
U0007,E0008
U0007,E0009
U0007,E0010
U0007,E0011
U0008,E0008
U0008,E0009
U0009,E0009
U0009,E0010
U0009,E0011
U0010,E0010
U0010,E0011
U0010,E0012
U0010,E0013
U0011,E0011
U0011,E0012
U0011,E0013
U0011,E0014
U0011,E0015
U0012,E0012
U0012,E0013
U0013,E0013
U0013,E0014
U0013,E0015
U0014,E0014
U0014,E0015
U0014,E0016
U0014,E0017
U0015,E0015
U0015,E0016
U0015,E0017
U0015,E0018
U0015,E0019
U0016,E0016
U0016,E0017
U0017,E0017
U0017,E0018
U0017,E0019
U0018,E0018
U0018,E0019
U0018,E0020
U0018,E0021
U0019,E0019
U0019,E0020
U0019,E0021
U0019,E0022
U0019,E0023
U0020,E0020
U0020,E0021
U0021,E0021
U0021,E0022
U0021,E0023
U0022,E0022
U0022,E0023
U0022,E0024
U0022,E0025
U0023,E0023
U0023,E0024
U0023,E0025
U0023,E0026
U0023,E0027
U0024,E0024
U0024,E0025
U0025,E0025
U0025,E0026
U0025,E0027
U0026,E0026
U0026,E0027
U0026,E0028
U0026,E0029
U0027,E0027
U0027,E0028
U0027,E0029
U0027,E0030
U0027,E0031
U0028,E0028
U0028,E0029
U0029,E0029
U0029,E0030
U0029,E0031
U0030,E0030
U0030,E0031
U0030,E0032
U0030,E0033
U0031,E0031
U0031,E0032
U0031,E0033
U0031,E0034
U0031,E0035
U0032,E0032
U0032,E0033
U0033,E0033
U0033,E0034
U0033,E0035
U0034,E0034
U0034,E0035
U0034,E0036
U0034,E0037
U0035,E0035
U0035,E0036
U0035,E0037
U0035,E0038
U0035,E0039
U0036,E0036
U0036,E0037
U0037,E0037
U0037,E0038
U0037,E0039
U0038,E0038
U0038,E0039
U0038,E0040
U0038,E0041
U0039,E0039
U0039,E0040
U0039,E0041
U0039,E0042
U0039,E0043
U0040,E0040
U0040,E0041
U0041,E0041
U0041,E0042
U0041,E0043
U0042,E0042
U0042,E0043
U0042,E0044
U0042,E0045
U0043,E0043
U0043,E0044
U0043,E0045
U0043,E0046
U0043,E0047
U0044,E0044
U0044,E0045
U0045,E0045
U0045,E0046
U0045,E0047
U0046,E0046
U0046,E0047
U0046,E0048
U0046,E0049
U0047,E0047
U0047,E0048
U0047,E0049
U0047,E0050
U0047,E0051
U0048,E0048
U0048,E0049
U0049,E0049
U0049,E0050
U0049,E0051
U0050,E0050
U0050,E0051
U0050,E0052
U0050,E0053
U0051,E0051
U0051,E0052
U0051,E0053
U0051,E0054
U0051,E0055
U0052,E0052
U0052,E0053
U0053,E0053
U0053,E0054
U0053,E0055
U0054,E0054
U0054,E0055
U0054,E0056
U0054,E0057
U0055,E0055
U0055,E0056
U0055,E0057
U0055,E0058
U0055,E0059
U0056,E0056
U0056,E0057
U0057,E0057
U0057,E0058
U0057,E0059
U0058,E0058
U0058,E0059
U0058,E0060
U0058,E0061
U0059,E0059
U0059,E0060
U0059,E0061
U0059,E0062
U0059,E0063
U0060,E0060
U0060,E0061
U0061,E0061
U0061,E0062
U0061,E0063
U0062,E0062
U0062,E0063
U0062,E0064
U0062,E0065
U0063,E0063
U0063,E0064
U0063,E0065
U0063,E0066
U0063,E0067
U0064,E0064
U0064,E0065
U0065,E0065
U0065,E0066
U0065,E0067
U0066,E0066
U0066,E0067
U0066,E0068
U0066,E0069
U0067,E0067
U0067,E0068
U0067,E0069
U0067,E0070
U0067,E0071
U0068,E0068
U0068,E0069
U0069,E0069
U0069,E0070
U0069,E0071
U0070,E0070
U0070,E0071
U0070,E0072
U0070,E0073
U0071,E0071
U0071,E0072
U0071,E0073
U0071,E0074
U0071,E0075
U0072,E0072
U0072,E0073
U0073,E0073
U0073,E0074
U0073,E0075
U0074,E0074
U0074,E0075
U0074,E0076
U0074,E0077
U0075,E0075
U0075,E0076
U0075,E0077
U0075,E0078
U0075,E0079
U0076,E0076
U0076,E0077
U0077,E0077
U0077,E0078
U0077,E0079
U0078,E0078
U0078,E0079
U0078,E0000
U0078,E0001
U0079,E0079
U0079,E0000
U0079,E0001
U0079,E0002
U0079,E0003
U0080,E0000
U0080,E0001
U0081,E0001
U0081,E0002
U0081,E0003
U0082,E0002
U0082,E0003
U0082,E0004
U0082,E0005
U0083,E0003
U0083,E0004
U0083,E0005
U0083,E0006
U0083,E0007
U0084,E0004
U0084,E0005
U0085,E0005
U0085,E0006
U0085,E0007
U0086,E0006
U0086,E0007
U0086,E0008
U0086,E0009
U0087,E0007
U0087,E0008
U0087,E0009
U0087,E0010
U0087,E0011
U0088,E0008
U0088,E0009
U0089,E0009
U0089,E0010
U0089,E0011
U0090,E0010
U0090,E0011
U0090,E0012
U0090,E0013
U0091,E0011
U0091,E0012
U0091,E0013
U0091,E0014
U0091,E0015
U0092,E0012
U0092,E0013
U0093,E0013
U0093,E0014
U0093,E0015
U0094,E0014
U0094,E0015
U0094,E0016
U0094,E0017
U0095,E0015
U0095,E0016
U0095,E0017
U0095,E0018
U0095,E0019
U0096,E0016
U0096,E0017
U0097,E0017
U0097,E0018
U0097,E0019
U0098,E0018
U0098,E0019
U0098,E0020
U0098,E0021
U0099,E0019
U0099,E0020
U0099,E0021
U0099,E0022
U0099,E0023
